Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;785B_ 121-5785.;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
5M-7423;4;;1063;Seal-O-Ring;2W-0730;Aftercooler GP-Water;CCR EN&CA
1W-1253;2;;1063;Gasket;2W-0730;Aftercooler GP-Water;CCR EN&CA
6I-4033;1;;1063;Gasket;2W-0730;Aftercooler GP-Water;CCR EN&CA
7M-9909;2;;1063;Seal-O-Ring;2W-0730;Aftercooler GP-Water;CCR EN&CA
6V-1454;6;;1063;Seal-O-Ring;2W-0730;Aftercooler GP-Water;CCR EN&CA
1W-1251;3;;1063;Gasket;2W-0730;Aftercooler GP-Water;CCR EN&CA
1M-7913;1;;1063;Ring-Retaining;2W-0730;Aftercooler GP-Water;CCR EN&CA
230-1072;1;;1063;Gasket;2W-0730;Aftercooler GP-Water;CCR EN&CA
129-3948;1;;1803;Seal-Integral;117-0071;Air Compressor GP;CCR BBA
6L-1883;1;;1803;Gasket;117-0071;Air Compressor GP;CCR BBA
5F-5434;1;;1803;Valve AS-Vent;117-0071;Air Compressor GP;CCR BBA
4W-3027;2;;1317;Breather AS;394-8133;Breather GP;CCR M&B
4W-3034;2;;1317;Clamp-Hose;394-8133;Breather GP;CCR M&B
217-6692;1;;1317;Hose-Tee;394-8133;Breather GP;CCR M&B
033-6031;2;;1317;Seal-O-Ring;394-8133;Breather GP;CCR M&B
5P-0597;2;;1317;Clamp-Hose;394-8133;Breather GP;CCR M&B
7N-3218;2;;1210;Washer-Thrust;7E-5320;Camshaft GP;CCR BLOCK
117-0030;1;;1802;V-Belt;2W-0216;Compressor GP-Refrigerant;CCR DIST
103-0882;2;;1802;Cap-Dust;2W-0216;Compressor GP-Refrigerant;CCR BBA 
2R-1230;4;;1802;Ring-Retaining;2W-0216;Compressor GP-Refrigerant;CCR BBA 
105-7535;2;;1802;Bearing AS-Ball;2W-0216;Compressor GP-Refrigerant;CCR BBA 
103-0885;2;;1802;Bolt-Special;2W-0216;Compressor GP-Refrigerant;CCR BBA 
9X-4610;2;;1802;Seal-V-Ring;2W-0216;Compressor GP-Refrigerant;CCR BBA 
103-0881;2;;1802;Cap-Dust;2W-0216;Compressor GP-Refrigerant;CCR BBA 
133-5941;1;;1802;Harness AS;2W-0216;Compressor GP-Refrigerant;CCR BBA 
